state,n,total_amount
Alabama,1,2500
California,23,12195.49
Connecticut,6,5700
Delaware,11,17250
Florida,30,50285
Georgia,8,4950
Illinois,4,20000
Indiana,3,1500
Louisiana,1,500
Maryland,1565,1304120.67
Massachusetts,7,2260.66
Michigan,5,4501
Nevada,2,2000
New Hampshire,2,1500
New Jersey,20,46119.69
New Mexico,1,1000
New York,14,8871.22
North Carolina,7,9305
Ohio,4,3770.22
Pennsylvania,17,22450
Rhode Island,1,1000
South Carolina,11,8577.2
Tennessee,1,1000
Texas,8,11539.22
Vermont,1,50
Virginia,30,32375
Washington,1,1000
District of Columbia,57,86195.22
Wyoming,1,1000
