state,n,total_amount
Alabama,10,1200
Alaska,6,35
Arizona,22,2380.01
Arkansas,12,25092
California,668,252097.51
Colorado,64,36796.77
Connecticut,144,96399.78
Delaware,16,1462.5
Florida,137,33298.74
Georgia,53,14267.73
Hawaii,10,1575
Idaho,20,652.72
Illinois,222,125055.43
Indiana,27,1698.32
Iowa,29,1130.22
Kansas,5,163.45
Kentucky,10,117
Louisiana,41,7673.42
Maine,12,415.99
Maryland,2177,238526.95
Massachusetts,465,238241.15
Michigan,48,11585
Minnesota,38,7395.22
Mississippi,33,844
Missouri,22,4073
Oklahoma,16,12582.5
Montana,10,1236
Nebraska,2,17.5
Nevada,4,2015
New Hampshire,20,8130
New Jersey,184,83015.86
New Mexico,24,7136.45
New York,867,534478.44
North Carolina,47,8844.1
North Dakota,2,2000
Ohio,56,10852.49
Oregon,76,11529.72
Pennsylvania,93,25849.89
Puerto Rico,6,3751
Rhode Island,28,25326.08
South Carolina,19,5610
South Dakota,8,197.57999999999998
Tennessee,51,8502.27
Texas,123,42244.25
Utah,13,6532
Vermont,15,6875
Virgin Islands,1,10
Virginia,198,57002.8
Washington,143,34661.59
District of Columbia,507,197212.14
West Virginia,2,107.6
Wisconsin,10,917
Wyoming,1,1
