zip,total,estimate,per_100k
21153,10902,447,2438926.174496644
21612,7231,381,1897900.2624671918
21662,7265,418,1738038.2775119618
20606,6000,374,1604278.0748663102
20862,5000,341,1466275.6598240468
20815,334001.44,30664,1089229.8460735716
21762,2000,202,990099.0099009901
21210,143359.44,15553,921747.830000643
20842,13806,1676,823747.0167064439
21036,16095.44,2112,762094.696969697
21677,3100,446,695067.2645739911
20758,3050,451,676274.9445676275
21842,68159.25,10655,639692.6325668701
20763,9750,1635,596330.2752293578
21654,5735,986,581643.0020283976
20817,214613.7,37315,575140.560096476
20854,270372.7,49189,549660.8997946695
21202,113462.35,21784,520851.7719427102
21679,1500,289,519031.1418685121
20814,143316.92,29021,493838.6685503601
20861,6781,1449,467977.9158040027
21030,110990.04,24396,454951.7953762912
20816,71830.5,16316,440245.7710223094
20912,114506.62,26140,438051.3389441469
21655,20370.22,4747,429117.7585843691
21204,91713.57,21545,425683.77813877934
20690,3793,905,419116.0220994475
21286,75994.4,19849,382862.6127260819
21140,13570,3564,380751.9640852974
21035,28446.01,7957,357496.66959909507
21017,24710,6983,353859.372762423
21601,82392.5,23399,352119.7487072097
21208,119513.17,35266,338890.63120285823
20868,2575,780,330128.2051282051
21029,35268.75,10895,323715.0068838917
20777,11654.15,3687,316087.6050989965
21230,107198.21,34274,312768.3083386824
21791,15480,5245,295138.22688274545
21201,48146.09,17256,279010.7209086694
21211,45364.57,16370,277120.15882712277
21779,2810,1032,272286.8217054264
20895,48402.91,19026,254404.02606958902
21032,20500.45,8084,253592.8995546759
21212,83894.38,33431,250947.86276210702
21401,90138.84,38315,235257.31436774108
20818,4570,1971,231861.9989852867
21658,9180.22,3987,230253.8249310258
20776,7425,3271,226994.80281259553
21663,7765,3424,226781.54205607477
21117,134044.62,59301,226041.07856528554
20896,1750,775,225806.45161290324
21093,85132.6,37996,224056.74281503315
20759,11539.5,5311,217275.46601393333
21209,61452.69,28309,217078.27899254655
21218,101224.55,47555,212857.84880664496
21723,1604,759,211330.69828722003
21037,43212.13,21046,205322.2940226171
21813,5405,2672,202282.93413173652
21811,47582.5,24071,197675.62627227785
21666,25007.5,12836,194823.15363041448
21794,4252,2277,186736.93456302152
21146,50724.36,27555,184084.05008165486
21801,54830.34,29866,183587.8256211076
21710,8821,4859,181539.41140152296
21131,13182.5,7282,181028.56358143367
21619,10735,5964,179996.64654594232
21769,20788.22,11629,178761.88838249206
21701,64451.44,37017,174113.0831779993
21536,7000,4123,169779.28692699492
20677,4100,2416,169701.98675496687
21046,26564.44,15655,169686.61769402746
21250,4000,2367,168990.28305872413
21774,22041.7,13092,168360.06721662084
21082,1095,656,166920.73170731709
21231,24843.72,15854,156703.16639333923
20634,10000,6478,154368.63229391788
20833,11235.22,7369,152466.00624236665
21136,51800,34177,151563.91725429383
21771,45178.5,29901,151093.60890940102
21042,61222.51,41195,148616.36120888457
21659,2000,1356,147492.62536873156
21795,13440.44,9147,146938.23111402645
20720,33301.21,22971,144970.658656567
21104,8303,5762,144099.2710864283
21054,16011.93,11199,142976.42646664882
21919,4145,2919,142000.68516615278
20721,41095.45,29730,138228.8933736966
21163,9625.22,7030,136916.35846372688
20622,9350,6887,135763.03179904167
21754,8505,6667,127568.62156892155
21798,2550,2057,123966.94214876034
21047,15065.44,12266,122822.76210663623
21224,60245.01,49332,122121.56409632693
21152,6575,5462,120377.1512266569
21742,40285.95,33483,120317.62386882896
21657,1025,910,112637.36263736263
20852,50163.31,46178,108630.32179825891
