state,n,total_amount
Alabama,10,365
Alaska,4,1215
American Somoa,2,300
Arizona,74,5384.5
Arkansas,8,2581
California,612,326990.82
Colorado,57,11045.67
Connecticut,217,114614.5
Delaware,46,2794.62
Florida,237,150882.92
Georgia,125,36147.55
Hawaii,9,1161
Idaho,5,305
Illinois,226,131629.35
Indiana,37,705.75
Iowa,10,159
Kansas,18,427
Kentucky,17,848
Louisiana,12,657.5
Maine,15,2160
Maryland,6063,1736655.87
Massachusetts,203,25835.6
Michigan,42,7014
Minnesota,29,14925
Mississippi,9,1235
Missouri,38,1627
Oklahoma,10,290
Montana,4,1045
Nebraska,12,360
Nevada,13,8238
New Hampshire,16,9761
New Jersey,191,74924
New Mexico,25,406
New York,1132,1000664.98
North Carolina,88,26447.4
North Dakota,1,15
Ohio,77,12258
Oregon,43,6953
Pennsylvania,327,80059.5
Rhode Island,4,117
South Carolina,40,16060
South Dakota,12,165
Tennessee,30,5204.67
Texas,148,33239.66
Utah,8,1130
Vermont,18,1143
Virgin Islands,1,100
Virginia,257,77725.19
Washington,100,21658.64
District of Columbia,312,156322.3
West Virginia,10,6323.95
Wisconsin,27,5203.65
Wyoming,3,27
