Receiving Committee,date,total
Baker,2021-10-13,320.21
Baker,2021-10-14,350
Baker,2021-10-15,470
Baker,2021-10-16,400
Baker,2021-10-17,70
Baker,2021-10-20,550
Baker,2021-10-21,3701
Baker,2021-10-22,660
Baker,2021-10-23,1050
Baker,2021-10-24,100
Baker,2021-10-25,1190
Baker,2021-10-26,85
Baker,2021-10-27,1595
Baker,2021-10-28,3090
Baker,2021-10-29,2275
Baker,2021-10-30,2390
Baker,2021-10-31,1435
Baker,2021-11-01,1275
Baker,2021-11-02,50
Baker,2021-11-03,795
Baker,2021-11-04,725
Baker,2021-11-05,1338
Baker,2021-11-06,1220
Baker,2021-11-07,750
Baker,2021-11-08,500
Baker,2021-11-09,1480
Baker,2021-11-10,1195
Baker,2021-11-11,1190
Baker,2021-11-12,620
Baker,2021-11-13,1810
Baker,2021-11-14,2170
Baker,2021-11-15,2025
Baker,2021-11-16,2910
Baker,2021-11-17,1375
Baker,2021-11-18,1860
Baker,2021-11-19,820
Baker,2021-11-20,2000
Baker,2021-11-21,940
Baker,2021-11-22,2028
Baker,2021-11-23,4565
Baker,2021-11-24,1370
Baker,2021-11-25,100
Baker,2021-11-26,600
Baker,2021-11-27,1200
Baker,2021-11-28,575
Baker,2021-11-29,1870
Baker,2021-11-30,2270
Baker,2021-12-01,1110
Baker,2021-12-02,1851
Baker,2021-12-03,1715
Baker,2021-12-04,3740
Baker,2021-12-05,225
Baker,2021-12-06,2405
Baker,2021-12-07,3892
Baker,2021-12-08,4585
Baker,2021-12-09,1735
Baker,2021-12-10,3020
Baker,2021-12-11,225
Baker,2021-12-12,110
Baker,2021-12-13,2575
Baker,2021-12-14,1980
Baker,2021-12-15,2457
Baker,2021-12-16,2565
Baker,2021-12-17,1185
Baker,2021-12-18,300
Baker,2021-12-19,300
Baker,2021-12-20,5
Baker,2021-12-21,650
Baker,2021-12-22,565
Baker,2021-12-23,100
Baker,2021-12-24,91
Baker,2021-12-25,250
Baker,2021-12-26,280
Baker,2021-12-27,150
Baker,2021-12-28,351
Baker,2021-12-29,6659
Baker,2021-12-30,1165
Baker,2021-12-31,3965
Baker,2022-01-01,545
Baker,2022-01-02,5
Baker,2022-01-03,400
Baker,2022-01-04,505
Baker,2022-01-05,1865
Baker,2022-01-06,2550
Baker,2022-01-07,450
Baker,2022-01-08,845
Baker,2022-01-09,790
Baker,2022-01-10,2446
Baker,2022-01-11,2400
Baker,2022-01-12,4500
Franchot,2021-04-13,1138.85
Franchot,2021-04-14,510
Franchot,2021-04-15,1221.08
Franchot,2021-04-16,2500
Franchot,2021-04-17,1000
Franchot,2021-04-18,50
Franchot,2021-04-19,2220.22
Franchot,2021-04-20,741.8
Franchot,2021-04-21,1000
Franchot,2021-04-22,1376.32
Franchot,2021-04-23,50
Franchot,2021-04-25,220.22
Franchot,2021-04-26,150
Franchot,2021-04-27,13704
Franchot,2021-04-30,1100
Franchot,2021-05-02,83.48
Franchot,2021-05-03,20580.22
Franchot,2021-05-04,560.44
Franchot,2021-05-05,110.44
Franchot,2021-05-06,6145.44
Franchot,2021-05-07,279.3
Franchot,2021-05-08,50.44
Franchot,2021-05-10,6581.26
Franchot,2021-05-11,3030.22
Franchot,2021-05-12,508.25
Franchot,2021-05-13,1000
Franchot,2021-05-14,20.22
Franchot,2021-05-16,796.51
Franchot,2021-05-17,1000
Franchot,2021-05-18,895
Franchot,2021-05-19,2588.75
Franchot,2021-05-20,270.22
Franchot,2021-05-21,1392.43
Franchot,2021-05-22,6040.44
Franchot,2021-05-23,6325.22
Franchot,2021-05-24,5500
Franchot,2021-05-25,10
Franchot,2021-05-26,115.44
Franchot,2021-05-27,4025
Franchot,2021-05-28,85.22
Franchot,2021-05-29,2015
Franchot,2021-05-30,325.22
Franchot,2021-05-31,4810.44
Franchot,2021-06-01,32500
Franchot,2021-06-02,500
Franchot,2021-06-03,250
Franchot,2021-06-05,2500
Franchot,2021-06-06,50.44
Franchot,2021-06-07,3000
Franchot,2021-06-08,1825.22
Franchot,2021-06-09,1150
Franchot,2021-06-10,4856
Franchot,2021-06-13,500
Franchot,2021-06-14,2500
Franchot,2021-06-16,1100
Franchot,2021-06-19,100
Franchot,2021-06-21,19975.22
Franchot,2021-06-22,3270.22
Franchot,2021-06-23,30
Franchot,2021-06-25,500
Franchot,2021-06-27,1020.22
Franchot,2021-06-28,34700
Franchot,2021-06-29,5002
Franchot,2021-06-30,6181.22
Franchot,2021-07-01,20.22
Franchot,2021-07-02,750
Franchot,2021-07-03,1008.3
Franchot,2021-07-06,17350
Franchot,2021-07-07,540.22
Franchot,2021-07-08,1350
Franchot,2021-07-09,8320.22
Franchot,2021-07-11,6000
Franchot,2021-07-13,7750
Franchot,2021-07-14,23650
Franchot,2021-07-16,1500
Franchot,2021-07-17,1012.08
Franchot,2021-07-18,1000
Franchot,2021-07-19,6650
Franchot,2021-07-20,1250
Franchot,2021-07-21,100
Franchot,2021-07-22,1100
Franchot,2021-07-23,6800
Franchot,2021-07-24,42.22
Franchot,2021-07-27,6500
Franchot,2021-07-28,153
Franchot,2021-07-29,5010
Franchot,2021-07-30,5260
Franchot,2021-07-31,1120.66
Franchot,2021-08-01,2510
Franchot,2021-08-02,1100
Franchot,2021-08-03,6000
Franchot,2021-08-04,5004
Franchot,2021-08-06,500
Franchot,2021-08-07,10
