state,n,total_amount
Alabama,10,949
Alaska,12,1030
Arizona,55,22744.77
Arkansas,8,1071
California,382,234749.3
Colorado,29,17691.9
Connecticut,12,2575.95
Delaware,1,10
Florida,94,110639.82
Georgia,21,21467.95
Hawaii,11,251.5
Idaho,6,400
Illinois,68,28497.35
Indiana,16,12755.22
Iowa,6,28.5
Kansas,13,1651.45
Kentucky,5,8525
Louisiana,3,29.5
Maine,7,6765.82
Maryland,1871,762794.39
Massachusetts,108,116491.58
Michigan,32,22369.81
Minnesota,69,56736
Mississippi,11,2810
Missouri,8,5044.5
Oklahoma,4,22.5
Montana,1,500
Nebraska,2,105
Nevada,8,15276.5
New Hampshire,9,565.5
New Jersey,39,36227.49
New Mexico,18,6295.5
New York,214,226208.46
North Carolina,33,15765.45
North Dakota,1,5
Ohion,17,21973
Oregon,33,3779.5
Pennsylvania,56,30975.06
Puerto Rico,15,35698.7
Rhode Island,25,20223.49
South Carolina,5,1123.13
South Dakota,3,125
Tennessee,15,35865
Texas,100,97022.32
Utah,4,1038
Vermont,5,2728
Virgin Islands,3,175
Virginia,131,123178.74
Washington,65,45341
District of Columbia,306,250580.46
West Virginia,5,305
Wisconsin,67,48489.51
Wyoming,1,1000
